'cfullname','cshortname','efullname','eshortname','id','delflag'
'深圳市清泉水业股份有限公司','清泉水业','','','10996','0'
'深圳可雷可科技股份有限公司','可雷可','ShenZhen Clake Technology CO.,LTD','','9513','0'
'深圳市诚本信用服务股份有限公司','诚本信用','','','11434','0'
'深圳市济华盛世商贸股份有限公司','济华盛世','','','12456','0'
'深圳欧中联合资产管理股份有限公司','欧中联合','Shenzhen Europe-China Union Private Equity Management CO.Ltd','','11997','0'
'四川禹伽茶业科技有限公司','禹伽茶业','Sichuan Yuga Tea Development Co.,Ltd.','','29802','0'
'深圳市鲁科特科技股份有限公司','鲁科特','','','8908','0'
'新余市大唐实业有限公司','大唐实业','','','21741','0'
'广西北流市兆周林产有限公司','兆周林产','','','29043','0'
'诸城市天福食品有限公司','天福食品','','','29048','0'
'河源市灌篮王运动餐饮管理有限公司','灌篮王','','','29061','0'
'深圳市中航洗衣设备有限公司','中航洗衣','','','29074','0'
'汕头市澄海区德邻中源纸塑有限公司','德邻中源','','','29077','0'
'东莞市美尚服饰有限公司','美尚服饰','','','29080','0'
'深圳商银通移动支付有限公司','商银通','','','29082','0'
'海南民本农业科技集团有限公司','民本农业','','','29083','0'
'深圳市金淼通讯科技有限公司','金淼通讯','','','29094','0'
'深圳市诚昌盛实业有限公司','诚昌盛','','','29099','0'
'深圳市欣星宇科技有限公司','欣星宇','','','29111','0'
'深圳市富鑫福珠宝有限公司','富鑫福','','','29120','0'
'深圳市万家安泰科技服务有限公司','万家安泰','','','29125','0'
'深圳市永成光电子有限公司','永成光电子','','','46736','0'
'百城基金管理（深圳）有限公司','百城基金','','','9601','0'
'深圳市金星精密技术有限公司','金星精密','','','9602','0'
'深圳市俊隆果菜农业技术开发有限公司','俊隆果菜','','','9603','0'
'深圳市钜弘科技有限公司','钜弘科技','','','9604','0'
'深圳市新天光电科技有限公司 ','新天光电','','','9605','0'
'深圳迪斯卡威数码科技有限公司','迪斯卡威','','','9606','0'
'深圳市孔方兄投资管理有限公司','孔方兄','','','29127','0'
'山东芳绿农业科技有限公司','山东芳绿','','','29144','0'
'厦门远太景观设计工程有限公司','远太景观','','','29151','0'
'深圳市金福华珠宝有限公司','金福华','','','29155','0'
'深圳市法马新智能设备有限公司','深圳法马','Chevy Light Co., Ltd.','','29173','0'
'无锡市鸿威置业有限公司','无锡鸿威','','','12384','0'
'深圳市龙翔顺包装材料有限公司','龙翔顺','','','12385','0'
'泰安宏达金属结构制造有限公司','泰安宏达','','','12386','0'
'武汉市广地农业科技有限公司','广地农业','','','10134','0'
'广州市宇洪电线电缆实业有限公司','广州宇洪','','','10131','0'
'深圳市百事杰汽车服务有限公司','百事杰','','','10132','0'
'江西波尔科技有限公司','波尔科技','','','10133','0'
'福建隆恩股份有限公司','隆恩股份','','','29204','0'
'深圳赣锋安科有限公司','赣锋安科','SHENZHEN GF SMOCARE Co., LTD','','29228','0'
'深圳市棕榈滩露营用品有限公司','棕榈滩','','','29265','0'
'通海高原农产品有限公司','高原农产','','','29273','0'
'浙江医宝中药饮片有限公司','浙江医宝','','','29278','0'
'游晟印染(深圳)有限公司','游晟印染','YU-CITY (S.Z.) IND. CO., LTD','','29294','0'
'诸城市华欣铸造有限公司','华欣铸造','','','29308','0'
'湖北正英实业集团股份有限公司','正英集团','','','29315','0'
'深圳本斯智能电器有限公司','本斯电器','','','29328','0'
'成都市城市发展东移开发建设有限公司','东移公司','','','29330','0'
'深圳市威狮贸易有限公司','威狮贸易','','','29353','0'
'深圳市新东家信息技术有限公司','新东家','','','29360','0'
'广西平原农牧有限公司','平原农牧','','','29380','0'
'中山市新粤物业管理有限公司','新粤物业','','','29381','0'
'东莞市家兴塑胶化工有限公司','家兴塑胶','','','29390','0'
'汕头市中马印刷有限公司','中马印刷','','','29394','0'
'金堂县兴金开发建设投资有限责任公司','兴金公司','','','29396','0'
'深圳市鸿之业印刷有限公司','鸿之业','','','29398','0'
'深圳华瑞达装饰集团有限公司','华瑞达','','','29399','0'
'深圳市爱诺星科技有限公司','爱诺星','SHENZHEN ANOKING TECHNOLOGY CO.,LTD','','29400','0'
'霍邱兴达矿业有限责任公司','兴达矿业','','','29405','0'
'深圳市米世家生态农业有限公司','米世家','','','29412','0'
'广州爱狗创志企业管理顾问有限公司','爱狗创志','','','29415','0'
'深圳市瑞康乳业有限公司','瑞康乳业','','','29420','0'
'广东合润融资担保有限公司','合润担保','','','29436','0'
'广州欧迈家具有限公司','广州欧迈','','','29442','0'
'郑州市建锋无纺织品有限公司','建锋无纺','','','29445','0'
'深圳市凯隆电子有限公司','凯隆电子','','','11600','0'
'深圳市方佳建筑设计有限公司','方佳设计','','','12322','0'
'广州天艾动漫有限公司','天艾动漫','','','12323','0'
'深圳市百康光电有限公司','百康光电','Shenzhen Baikang Optical Co., Ltd','','12412','0'
'吉林省咱家餐饮投资管理有限公司','咱家食品','','','12413','0'
'四川禹王生态农业发展有限公司','禹王生态','SiCchuan Yuwang Ecosystem Agriculture Development Co ,LTD','','12584','0'
'云浮市新高雅石材有限公司','新高雅石材','','','22480','0'
'厦门市鑫鸿网络服务有限公司','鑫鸿网络','','','23726','0'
'朗森（厦门）能源管理有限公司','朗森能源','','','23758','0'
'厦门加美石油集团有限公司','加美集团','','','23873','0'
'成都北湖壹号休闲娱乐有限公司','北湖壹号','','','23874','0'
'厦门唯自然工贸有限公司','唯自然','','','24058','0'
'厦门正方圆进出口有限公司','正方圆','','','24841','0'
'佛山市旭源纺织品有限公司','旭源纺织','','','24892','0'
'深圳市弘邦实业有限公司','弘邦实业','','','27312','0'
'广州市财富饮食有限公司','财富渔港','','','32503','0'
'深圳市汇宝光学科技有限公司','汇宝公司','Shenzhen Huibao Optical Technology Co.,Ltd.','','9009','0'
'宁夏佳美诺绒业有限公司','佳美诺','NingXia Cameno Cashmere Products Co.,LTD','','29447','0'
'厦门菲伯斯光电科技有限公司','菲伯斯','','','29455','0'
'厦门鸿域建设工程有限公司','鸿域建设','','','29457','0'
'厦门骅鹭国际旅行社有限公司','骅鹭国旅','','','29461','0'
'瑞金市荣兴新型建材有限公司','荣兴建材','','','29485','0'
'中山市顺翔燃料贸易有限公司','顺翔燃料','','','29488','0'
'于都天强建材贸易有限公司','天强建材','','','29512','0'
'深圳市茂峰实业有限公司','茂峰实业','','','10101','0'
'四川仁和路达物流有限公司','仁和路达','','','29529','0'
'文安县中心家电销售有限公司','中心家电','','','29535','0'
'青海青台万达生物有限公司','万达生物','','','29549','0'
'吉安市绿庐陵林业投资有限公司','绿庐陵','','','29554','0'
'巴马和泰长寿产业有限公司','和泰长寿','','','29561','0'
'山东金威力石油装备制造有限公司','金威力','','','29562','0'
'河北一犇农机有限公司','一犇农机','','','11139','0'
'深圳市易成纸业有限公司','易成纸业','','','11140','0'
'山东龙翔实业有限公司','龙翔实业','','','14945','0'
'福建省华力伟业置地有限公司','福建华力','','','15264','0'
'湖南大三湘油茶科技有限公司','大三湘','','','15265','0'
'华盈置地集团有限公司','华盈置地','','','15266','0'
'洛阳物华天宝农业有限公司','物华天宝','','','15267','0'
'兴国县绿宝米业有限公司','绿宝米业','XINGGUO LVBAO RICEINDUSTRY CO.LTD','','15270','0'
'云南陆劲高速公路有限公司','陆劲高速','','','15276','0'
'惠州天阳精密部品有限公司','天阳精密','Techwin Precise Parts Co.,Ltd','','15277','0'
'深圳市玉宇科技有限公司','玉宇科技','','','15280','0'
'山东华轮实业有限公司','华轮实业','','','15283','0'
'四川省资阳沱江木业发展有限公司','沱江木业','','','15289','0'
'深圳市祥昭实业发展有限公司','祥昭实业','','','12434','0'
'广东立威化工有限公司','立威','Guangdong Liwei Chemical Industry Co.,Ltd','','12435','0'
'华夏英杰文化科技有限公司','华夏英杰','Huaxia Yingjie Culture Technology Co,LTD','','12448','0'
'武汉高创自控股份有限公司','高创自控','Wuhan High-Tech Automatic ControlCo .,Ltd.','','12450','0'
'深圳市卓能新能源科技有限公司','深圳卓能','','','18660','0'
'深圳市景翰光电有限公司','景翰光电','SHENZHEN  FIRSTVIEW  ELECTRONIC CO.,LTD','','9727','0'
'深圳市中柏电脑技术有限公司','中柏电脑','SHENZHEN JUMPER COMPUTER TECHNOLOGY CO.,LTD','','9728','0'
'深圳市北美通科技有限公司','北美通','','','9729','0'
'深圳市勇佳顺供应链有限公司','勇佳供应','Shenzhen Yongjiashun Supply Chain Co., Ltd','','9730','0'
'深圳市德明发实业（集团）有限公司','德明发','SHENZHEN DEMINGFA INDUSTRIAL (GROUP)CO.LTD','','9956','0'
'深圳市斯瑞达食品设备有限公司','斯瑞达','Shenzhen Sweeda Food Equipment Co.,Ltd','','9957','0'
'深圳市特佳利实业发展有限公司','特佳利','','','9958','0'
'深圳市坤兴科技有限公司','坤兴科技','','','9959','0'
'深圳市鹏力天电子科技有限公司','鹏力天','','','19450','0'
'深圳市大地动画传媒有限公司','大地动画','ShenZhen Dadi Animation Co.,Ltd','','10047','0'
'深圳市华高芯源科技有限公司','华高芯源','Shenzhen Huagao Intelligent Control & Power Technology Co.,Ltd','','10202','0'
'深圳市爱洁家环保科技有限公司','爱洁家','','','20367','0'
'深圳南鹏信息技术有限公司','南鹏信息','Shenzhen Nanpeng Information Technology Co.,Ltd','','10230','0'
'重庆盛景生态旅游开发股份有限公司','重庆盛景','','','10231','0'
'江西山歌食品有限公司','山歌食品','','','21516','0'
'江西华楠明珠家具有限公司','华楠明珠','','','21517','0'
'大余县鑫隆钼业有限公司','鑫隆钼业','','','21519','0'
'南康市绿森源木业有限公司','绿森源','','','21521','0'
'深圳市云帆兴烨科技有限公司','云帆兴烨','','','10680','0'
'深圳市追日电子科技有限公司','追日科技','PURSUN（SHEN ZHEN）ELECTRONICS TECHNOLOGY CO.,LTD','','22093','0'
'赣县晨旺新型建材有限公司','晨旺新型','','','22097','0'
'云浮市云城区河口九洲石材厂','九洲石材','','','22436','0'
'云城区大展石材店','大展石材','','','22438','0'
'赣州友邦大药房零售连锁有限公司','友邦药房','','','22442','0'
'山东同德建材有限公司','同德建材有限公司','','','22999','0'
'重庆飞龙科技集团有限公司','飞龙科技','','','23035','0'
'十堰市得尔源工贸有限公司','得尔源','','','23036','0'
'深圳市华宇装饰工程有限公司','华宇装饰','','','11627','0'
'厦门云海龙服饰咨询服务有限公司','云海龙','','','23372','0'
'厦门金展望物流有限公司','金展望','','','23373','0'
'厦门智裕科技有限公司','智裕科技','','','23374','0'
'福建省九朝汇宝文化传播集团有限公司','九朝汇宝','','','23376','0'
'厦门鹭苑翔龙装饰工程有限公司','鹭苑翔龙','','','23377','0'
'厦门元谷信息科技有限公司','元谷科技','','','23379','0'
'厦门市富仕德包装机械有限公司','富仕德','','','23380','0'
'厦门亚克力工贸有限公司','亚克力','','','23381','0'
'大同市浩海集团红旗水泥有限责任公司','红旗水泥','','','12187','0'
'厦门华汉乾坤贸易有限公司','华汉乾坤','','','23751','0'
'厦门嘉越光学有限公司','厦门嘉越光学有限公司','','','23752','0'
'厦门左西右东贸易有限公司','左西右东','','','23753','0'
'厦门毓诚进出口贸易有限公司','毓诚贸易','','','23754','0'
'北京北大青鸟新能源科技有限公司','新能源','','','12305','0'
'北京外企航空服务有限公司','外企航服','','','12306','0'
'北京北大青鸟安全系统工程技术有限公司','青鸟安全','','','12307','0'
'深圳市龙发装饰设计工程有限公司','龙发装饰','','','12308','0'
'北京九洲亚华演艺经纪有限公司','九洲亚华','','','12309','0'
'厦门力嘉诚防水工程有限公司','力嘉诚','','','23864','0'
'福建源天地生态农业开发有限公司','源天地','','','23865','0'
'厦门告之告信息技术有限公司','告之告','','','23866','0'
'厦门市华尔曼泊车设备有限公司','华尔曼','','','23911','0'
'麦仑（厦门）生物科技有限公司','麦仑生物','','','23912','0'
'厦门卫鹰科技有限公司','卫鹰科技','','','23913','0'
'纽贝斯特（厦门）贸易有限公司 ','纽贝斯特','','','23914','0'
'广州市远驰贸易有限公司','远驰贸易','','','12524','0'
'厦门威浩贸易有限公司','威浩贸易','','','24051','0'
'厦门浩添冷链科技有限公司','浩添冷链','','','24052','0'
'厦门精美特金属制品有限公司','精美特','','','24053','0'
'厦门思德电子科技有限公司','思德电子','','','24054','0'
'福建省国农农业发展有限公司','国农发展','','','24055','0'
'厦门市快行线物流有限公司','快行线','','','24056','0'
'厦门市卡布诺复合材料科技有限公司','卡布诺','','','24057','0'
'厦门璞真食品有限公司','璞真食品','','','24059','0'
'福建中成建设集团有限公司','中成建设','','','24060','0'
'韶关康泉羊奶乳业有限公司','康泉羊奶','','','12562','0'
'厦门中平整体卫浴有限公司','中平卫浴','','','24072','0'
'厦门世达膜科技有限公司','世达膜','','','24073','0'
'厦门海峡英才资讯科技有限公司 ','海峡英才','','','24074','0'
'厦门施耐特照明科技有限公司','施耐特','','','24075','0'
'厦门福旺达信息科技股份有限公司','福旺达','','','24632','0'
'新会区会城丰安建材部','丰安建材','','','24973','0'
